name,kobest_boolq (macro_f1),kobest_copa (macro_f1),kobest_hellaswag (macro_f1),pawsx_ko (acc),kobest_sentineg (macro_f1),kohatespeech (macro_f1),kohatespeech_apeach (macro_f1),kohatespeech_gen_bias (macro_f1),korunsmile (f1),nsmc (acc)
(ours)_kospo_eeve_ver0.2,0.8906247533720879,0.7308813186615297,0.47178126859052655,0.5425,,,,,,
(ours)_kospo_synatra_ver0.1,0.8746008708272859,0.6426108031646464,0.4250893436689566,0.5495,0.5755213312090635,,,,,
(ours)_kospo_mixtral_ver0.3,0.7713164049448713,0.6399481525339649,0.44044519939142107,0.575,0.6507271127671687,,,,,
(ours)_llama2_0.1_ALL_ver2,0.7488133742176671,0.7458536116803278,0.39573086143218006,0.535,0.3706762699877249,0.29686253652646205,0.38373095392046475,0.16542997307970866,0.35179107021642114,0.5312
(ours)_kospo_mixtral_ver0.4,0.8487954353338969,0.6423988725046803,0.4306403615458258,0.5475,0.5927651913997486,,,,,
(ours)_Synatra-Mixtral-8x7B_v0.3,0.33586879913255624,0.7265841344685267,0.4980557748109158,0.6215,0.5522936447306195,,,,,
(ours)_kospo_open_solar_ko_v0.1,0.8896010835956504,0.7650375939849624,0.4688910056113844,0.566,,,,,,
(ours)_Mixtral-instruct_v0.1,0.33428165007112376,0.7147258515433332,0.4885330564250521,0.6845,0.5754010695187166,,,,,
(ours)_kospo_T3Q_ver0.1,0.9408644411752617,0.7237834462218379,0.4718311449276488,0.5805,,,,,,
(ours)_Synatra-Mixtral-8x7B-v0.1,0.35461338879835325,0.6577316616227121,0.4491881401493295,0.539,0.5252590348936292,0.4770029338749717,0.33851558894747785,0.12453531598513011,0.30648331029034165,0.56638
(ours)_kospo_eeve_ver0.1,0.909361661245385,0.7118847539015607,0.4862241443434426,0.561,,,,,,
(ours)_Synatra-Mixtral-8x7B-v0.2,0.33428165007112376,0.48766742296713755,0.22922269150946617,0.4605,0.5332992588806542,0.24971341822350282,0.3376669009135629,0.12453531598513011,0.23792600960434174,0.50368
